symbol,price,likes,market_cap,volume_cap,date
SHIB,1.557e-05,120770,7657971016,3337777469,2021-05-17 01:37:18.934288
SNM,0.40369,3692,176655300,1319572,2021-05-17 01:37:18.934288
SLP,0.21092,10411,88137666,94660447,2021-05-17 01:37:18.934288
BAKE,6.67,27952,993215892,636957958,2021-05-17 01:37:18.934288
SHIB,1.557e-05,120770,7657971016,3337777469,2021-05-17 01:37:27.369681
SNM,0.40369,3692,176655300,1319572,2021-05-17 01:37:27.369681
SLP,0.21092,10411,88137666,94660447,2021-05-17 01:37:27.369681
BAKE,6.66,27952,993215892,637992331,2021-05-17 01:37:27.369681
SHIB,1.56e-05,120775,7657971016,3346378539,2021-05-17 01:38:04.731198
SNM,0.40369,3692,176655300,1319572,2021-05-17 01:38:04.731198
SLP,0.21092,10411,88137666,94660447,2021-05-17 01:38:04.731198
BAKE,6.66,27952,993215892,637992331,2021-05-17 01:38:04.731198
SHIB,1.56e-05,120779,7657971016,3346378539,2021-05-17 01:39:20.912455
SNM,0.40369,3692,176655300,1319572,2021-05-17 01:39:20.912455
SLP,0.21092,10411,88137666,94660447,2021-05-17 01:39:20.912455
BAKE,6.66,27952,993215892,638065101,2021-05-17 01:39:20.912455
